Indicator name,indicator,Country name,country,time,value
Domestic food price level index,FAO-21018-6125,Estonia,EST,2009,2.62
Domestic food price level index,FAO-21018-6125,Estonia,EST,2010,2.64
Domestic food price level index,FAO-21018-6125,Estonia,EST,2011,2.74
Domestic food price level index,FAO-21018-6125,Estonia,EST,2012,2.73
Domestic food price level index,FAO-21018-6125,Estonia,EST,2013,2.78
Domestic food price level index,FAO-21018-6125,Estonia,EST,2014,2.76
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2000,5.97
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2001,5.35
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2002,5.39
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2003,5.85
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2004,5.79
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2005,5.95
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2006,6.04
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2007,6.2
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2008,6.76
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2009,6.3
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2010,5.97
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2011,6.2
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2012,6.36
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2013,6.3
Domestic food price level index,FAO-21018-6125,Ethiopia,ETH,2014,6.25
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2000,4.61
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2001,4.59
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2002,4.56
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2003,4.65
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2004,4.66
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2005,4.67
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2006,4.68
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2007,4.85
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2008,4.94
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2009,4.97
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2010,4.95
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2011,4.93
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2012,4.9
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2013,4.98
Domestic food price level index,FAO-21018-6125,Fiji,FJI,2014,5.13
Domestic food price level index,FAO-21018-6125,Finland,FIN,2000,1.49
Domestic food price level index,FAO-21018-6125,Finland,FIN,2001,1.51
Domestic food price level index,FAO-21018-6125,Finland,FIN,2002,1.53
Domestic food price level index,FAO-21018-6125,Finland,FIN,2003,1.53
Domestic food price level index,FAO-21018-6125,Finland,FIN,2004,1.52
Domestic food price level index,FAO-21018-6125,Finland,FIN,2005,1.53
Domestic food price level index,FAO-21018-6125,Finland,FIN,2006,1.54
Domestic food price level index,FAO-21018-6125,Finland,FIN,2007,1.52
Domestic food price level index,FAO-21018-6125,Finland,FIN,2008,1.56
Domestic food price level index,FAO-21018-6125,Finland,FIN,2009,1.55
Domestic food price level index,FAO-21018-6125,Finland,FIN,2010,1.49
Domestic food price level index,FAO-21018-6125,Finland,FIN,2011,1.53
Domestic food price level index,FAO-21018-6125,Finland,FIN,2012,1.55
Domestic food price level index,FAO-21018-6125,Finland,FIN,2013,1.62
Domestic food price level index,FAO-21018-6125,Finland,FIN,2014,1.6
Domestic food price level index,FAO-21018-6125,France,FRA,2000,1.74
Domestic food price level index,FAO-21018-6125,France,FRA,2001,1.79
Domestic food price level index,FAO-21018-6125,France,FRA,2002,1.8
Domestic food price level index,FAO-21018-6125,France,FRA,2003,1.8
Domestic food price level index,FAO-21018-6125,France,FRA,2004,1.76
Domestic food price level index,FAO-21018-6125,France,FRA,2005,1.75
Domestic food price level index,FAO-21018-6125,France,FRA,2006,1.76
Domestic food price level index,FAO-21018-6125,France,FRA,2007,1.74
Domestic food price level index,FAO-21018-6125,France,FRA,2008,1.75
Domestic food price level index,FAO-21018-6125,France,FRA,2009,1.72
Domestic food price level index,FAO-21018-6125,France,FRA,2010,1.72
Domestic food price level index,FAO-21018-6125,France,FRA,2011,1.71
Domestic food price level index,FAO-21018-6125,France,FRA,2012,1.72
Domestic food price level index,FAO-21018-6125,France,FRA,2013,1.73
Domestic food price level index,FAO-21018-6125,France,FRA,2014,1.7
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2000,4.44
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2001,4.55
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2002,4.54
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2003,4.53
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2004,4.4
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2005,4.45
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2006,4.59
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2007,4.72
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2008,4.75
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2009,4.74
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2010,4.92
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2011,5.02
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2012,5.17
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2013,5.14
Domestic food price level index,FAO-21018-6125,Gabon,GAB,2014,5.22
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2000,6.36
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2001,6.33
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2002,6.53
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2003,6.73
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2004,6.8
Domestic food price level index,FAO-21018-6125,Gambia,GMB,2005,6.86
